benchmark,config,sample,cpu,error,gc,real
sieve,11,0,3235,FALSE,154,3231
sieve,11,0,3196,FALSE,137,3192
sieve,11,0,3264,FALSE,142,3260
sieve,11,0,3572,FALSE,159,3566
sieve,11,0,3719,FALSE,164,3708
sieve,11,0,4103,FALSE,848,4099
sieve,11,0,3328,FALSE,141,3324
sieve,11,0,3357,FALSE,149,3353
sieve,11,0,4582,FALSE,210,4575
sieve,11,0,3900,FALSE,183,3893
sieve,00,1,3913,FALSE,173,3907
sieve,00,1,3992,FALSE,169,3984
sieve,00,1,4563,FALSE,191,4553
sieve,00,1,4046,FALSE,171,4033
sieve,00,1,3899,FALSE,172,3885
sieve,00,1,3990,FALSE,180,3977
sieve,00,1,3782,FALSE,155,3772
sieve,00,1,3901,FALSE,169,3890
sieve,00,1,3697,FALSE,176,3687
sieve,00,1,4464,FALSE,860,4451
sieve,00,2,3748,FALSE,177,3734
sieve,00,2,3710,FALSE,174,3671
sieve,00,2,4477,FALSE,892,4424
sieve,00,2,3668,FALSE,174,3644
sieve,00,2,3724,FALSE,165,3671
sieve,00,2,3634,FALSE,166,3614
sieve,00,2,4378,FALSE,859,4348
sieve,00,2,3769,FALSE,185,3751
sieve,00,2,3693,FALSE,173,3678
sieve,00,2,3799,FALSE,169,3779
sieve,01,2,4458,FALSE,923,4436
sieve,01,2,3608,FALSE,165,3591
sieve,01,2,3709,FALSE,168,3692
sieve,01,2,3626,FALSE,151,3610
sieve,01,2,3677,FALSE,163,3661
sieve,01,2,3657,FALSE,174,3640
sieve,01,2,3634,FALSE,165,3617
sieve,01,2,3684,FALSE,178,3667
sieve,01,2,3632,FALSE,180,3616
sieve,01,2,4345,FALSE,869,4323
sieve,10,2,3702,FALSE,175,3685
sieve,10,2,3715,FALSE,155,3698
sieve,10,2,3695,FALSE,172,3679
sieve,10,2,3755,FALSE,177,3737
sieve,10,2,4486,FALSE,927,4465
sieve,10,2,3721,FALSE,171,3705
sieve,10,2,3736,FALSE,170,3718
sieve,10,2,3689,FALSE,155,3668
sieve,10,2,3685,FALSE,168,3666
sieve,10,2,4523,FALSE,936,4485
sieve,11,2,4427,FALSE,927,4400
sieve,11,2,3782,FALSE,177,3742
sieve,11,2,3678,FALSE,171,3653
sieve,11,2,3670,FALSE,186,3644
sieve,11,2,3659,FALSE,174,3634
sieve,11,2,4371,FALSE,923,4345
sieve,11,2,3676,FALSE,183,3641
sieve,11,2,3630,FALSE,171,3609
sieve,11,2,3754,FALSE,175,3734
sieve,11,2,3668,FALSE,163,3651
