benchmark,config,sample,analyze-cpu,analyze-gc,analyze-real,blame,compile-cpu,compile-gc,compile-real,error,expand-cpu,expand-gc,expand-real
fsm,1111,0,9621,2319,9571,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",20,25],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",29,24],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]]]",21533,6401,21387,FALSE,9898,2462,9849
fsm,0000,1,5102,1515,5077,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",31,14],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",19,3],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]]]",8436,2483,8391,FALSE,1512,309,1504
fsm,1001,2,7718,1975,7681,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",20,25],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",29,24],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]]]",16307,4669,16228,FALSE,4807,1556,4785
fsm,1111,2,9763,2321,9678,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",29,24],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",20,25],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]]]",20417,5424,20261,FALSE,11147,3520,11086
fsm,1101,2,9426,2291,9362,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",20,25],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",29,24],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]]]",17586,4274,17443,FALSE,7944,2884,7877
fsm,0010,2,7731,2034,7694,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",31,14],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",19,3],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]]]",13481,3590,13415,FALSE,3857,1444,3836
fsm,0001,3,6980,1853,6946,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",20,25],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",29,24],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]]]",13429,3539,13360,FALSE,2354,429,2342
fsm,1100,3,8461,2178,8421,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",31,14],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",19,3],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]]]",15042,4412,14968,FALSE,5340,1679,5308
fsm,1000,3,6791,1874,6739,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",19,3],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",31,14],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]]]",12662,3957,12572,FALSE,3299,628,3273
fsm,0100,3,7270,1953,7235,"[[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",31,14],[""first"",0,0],[""{cons/c@153:23}""],[""{%s₁}""]],[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",[""/home/camoy/.local/share/gtp-measure/23/0-fsm/configuration/utilities.rkt"",19,3],[""/home/camoy/wrk/soft-contract/soft-contract/primitives/prims-04-02.rkt"",110,56],[""{(not/c zero?)}""],[""{0}""]]]",11285,3211,11230,FALSE,3796,1406,3776
