benchmark,config,sample,cpu,error,gc,real
fsm,1111,0,158,FALSE,20,158
fsm,1111,0,175,FALSE,37,175
fsm,1111,0,153,FALSE,8,151
fsm,1111,0,169,FALSE,27,168
fsm,1111,0,182,FALSE,42,181
fsm,1111,0,159,FALSE,21,159
fsm,1111,0,175,FALSE,35,174
fsm,1111,0,157,FALSE,18,157
fsm,1111,0,172,FALSE,33,172
fsm,1111,0,147,FALSE,7,146
fsm,0000,1,323,FALSE,38,322
fsm,0000,1,293,FALSE,20,292
fsm,0000,1,286,FALSE,18,285
fsm,0000,1,284,FALSE,19,283
fsm,0000,1,304,FALSE,36,303
fsm,0000,1,297,FALSE,34,295
fsm,0000,1,297,FALSE,34,295
fsm,0000,1,304,FALSE,33,304
fsm,0000,1,320,FALSE,34,319
fsm,0000,1,301,FALSE,34,300
fsm,1001,2,154,FALSE,11,154
fsm,1001,2,158,FALSE,24,157
fsm,1001,2,146,FALSE,11,146
fsm,1001,2,139,FALSE,4,140
fsm,1001,2,149,FALSE,13,148
fsm,1001,2,137,FALSE,5,136
fsm,1001,2,150,FALSE,18,149
fsm,1001,2,147,FALSE,12,147
fsm,1001,2,139,FALSE,3,140
fsm,1001,2,155,FALSE,18,155
fsm,1111,2,188,FALSE,48,187
fsm,1111,2,166,FALSE,22,165
fsm,1111,2,178,FALSE,37,177
fsm,1111,2,148,FALSE,11,147
fsm,1111,2,168,FALSE,30,167
fsm,1111,2,142,FALSE,3,142
fsm,1111,2,187,FALSE,22,186
fsm,1111,2,181,FALSE,38,180
fsm,1111,2,153,FALSE,11,152
fsm,1111,2,170,FALSE,31,169
fsm,1101,2,159,FALSE,13,158
fsm,1101,2,157,FALSE,8,156
fsm,1101,2,194,FALSE,45,192
fsm,1101,2,194,FALSE,41,193
fsm,1101,2,169,FALSE,24,167
fsm,1101,2,170,FALSE,24,169
fsm,1101,2,180,FALSE,35,180
fsm,1101,2,166,FALSE,19,165
fsm,1101,2,154,FALSE,8,153
fsm,1101,2,182,FALSE,34,181
fsm,0010,2,299,FALSE,31,298
fsm,0010,2,277,FALSE,18,277
fsm,0010,2,267,FALSE,2,265
fsm,0010,2,308,FALSE,38,306
fsm,0010,2,294,FALSE,24,292
fsm,0010,2,277,FALSE,10,277
fsm,0010,2,300,FALSE,38,299
fsm,0010,2,295,FALSE,29,295
fsm,0010,2,303,FALSE,37,302
fsm,0010,2,305,FALSE,27,305
fsm,0001,3,156,FALSE,7,155
fsm,0001,3,162,FALSE,11,160
fsm,0001,3,153,FALSE,3,152
fsm,0001,3,166,FALSE,16,166
fsm,0001,3,148,FALSE,4,148
fsm,0001,3,167,FALSE,19,167
fsm,0001,3,177,FALSE,4,177
fsm,0001,3,168,FALSE,18,168
fsm,0001,3,151,FALSE,6,150
fsm,0001,3,169,FALSE,23,169
fsm,1100,3,282,FALSE,15,282
fsm,1100,3,282,FALSE,14,280
fsm,1100,3,283,FALSE,14,281
fsm,1100,3,278,FALSE,15,276
fsm,1100,3,291,FALSE,14,290
fsm,1100,3,303,FALSE,26,302
fsm,1100,3,294,FALSE,26,292
fsm,1100,3,284,FALSE,22,283
fsm,1100,3,305,FALSE,34,304
fsm,1100,3,293,FALSE,20,292
fsm,1000,3,285,FALSE,20,284
fsm,1000,3,262,FALSE,7,261
fsm,1000,3,283,FALSE,18,281
fsm,1000,3,264,FALSE,9,263
fsm,1000,3,288,FALSE,23,287
fsm,1000,3,269,FALSE,12,268
fsm,1000,3,259,FALSE,2,258
fsm,1000,3,274,FALSE,11,272
fsm,1000,3,260,FALSE,4,259
fsm,1000,3,266,FALSE,14,265
fsm,0100,3,304,FALSE,20,303
fsm,0100,3,295,FALSE,18,294
fsm,0100,3,291,FALSE,12,290
fsm,0100,3,284,FALSE,10,283
fsm,0100,3,288,FALSE,8,287
fsm,0100,3,320,FALSE,33,318
fsm,0100,3,304,FALSE,27,303
fsm,0100,3,305,FALSE,23,304
fsm,0100,3,291,FALSE,16,289
fsm,0100,3,304,FALSE,14,303
